Kabupaten/Kota,,,,,,,,,,,,,,,,
,Rata-rata Pengeluaran Perkapita Seminggu Menurut Kelompok Kacang-Kacangan Per Kabupaten/kota (Rupiah/Kapita/Minggu),,,,,,,,,,,,,,,
,KACANG-KACANGAN,,Kacang tanah tanpa kulit,,Kacang kedele,,Kacang lainnya,,Tahu,,Tempe,,Oncom,,Hasil lain dari kacang-kacangan,
Kota Sungai Penuh,2004.74,1767.4,42.08,10.66,8.3,-,56.05,18.68,1091.48,1042.96,794.11,690.56,11.11,1.5,1.61,3.04
Ogan Komering Ulu,2279.47,2621.58,59.03,23,-,3.27,103.32,118.48,894.97,1060.65,1188.07,1360.75,30.98,55.43,3.1,-
Ogan Komering Ilir,2641.71,2465,91.17,62.76,25.64,5.73,70.7,36.15,1035.65,1024.51,1381.47,1239.3,35.18,96.55,1.9,-
Muara Enim,2297.56,2251.13,45.44,114.43,9.51,25.02,66.29,26.76,1030.46,980.66,1115.68,1078.59,30.18,25.67,-,-
Lahat,2022.27,2345.85,52.97,22.92,13.87,-,31.74,39.51,928.21,1161.43,975.46,1112.4,11.36,9.58,8.67,-
Musi Rawas,2477.74,2546.18,64.42,46.29,7.67,2.32,20.47,32.51,1015.98,1149.93,1364.17,1310.68,5.02,2.85,-,1.59
Musi Banyuasin,3001.3,2831.28,134.71,85.51,-,-,51.16,50.13,1275.21,1248.13,1523.99,1399.82,12.98,34.14,3.24,13.55
Banyu Asin,3032.23,2990.03,72.07,128.28,3.72,1.74,17.36,49.09,1407.94,1262.55,1491.38,1474.23,39.76,74.14,-,-
Ogan Komering Ulu Selatan,2064.37,2076.76,22.88,66.51,-,-,6.46,19,877.82,849.35,1139.74,1120.47,17.47,21.43,-,-
Ogan Komering Ulu Timur,3203.07,2917.88,135.75,17.8,1.79,18.71,89.31,28.51,1185.47,955.6,1774.5,1864.47,5.35,31.54,10.92,1.25
Ogan Ilir,1830.46,2138.48,28.05,30,-,1.26,48.53,21.65,925.55,1077.47,796.71,956.47,24.2,50.94,7.42,0.69
Empat Lawang,1995.93,1882.75,63.56,25.93,-,-,65.16,11.78,836.15,911.68,949.11,926.39,5.19,6.98,76.75,-
Penukal Abab Lematang Ilir,1722.36,2064.71,30.7,68.25,-,12.76,28.85,78.7,747.7,884.79,909.29,983.1,5.81,32.89,-,4.22
Musi Rawas Utara,1877.67,1975.81,67.17,17.18,-,-,26.3,47.47,836.19,962.63,937.45,948.52,10.56,-,-,-
Kota Palembang,2540.72,2971.66,51.1,46.14,21.28,-,62.91,72.93,1277.78,1468.33,1064.37,1327.96,34.63,44.22,28.65,12.08
Kota Prabumulih,1829.04,1819.5,27.2,24.09,-,3.01,3.16,21.63,867.61,808.3,914.5,915.88,11.34,27.3,5.24,19.27
Kota Pagar Alam,2195.08,2560.74,68.29,64.11,2.96,0.52,15.71,10.1,1127.23,1289.91,977.97,1195.41,-,0.21,2.92,0.47
Kota Lubuklinggau,2036.92,2218.56,80.18,35.4,4.14,4.79,137.97,62.09,812.83,949.37,977.86,1150.34,7.4,5.25,16.54,11.32
Bengkulu Selatan,2028.87,2347.64,35.24,87.18,-,1.39,14.4,74.09,875.49,954.22,1099.82,1228.89,3.9,1.88,-,-
Rejang Lebong,2598.44,2864.02,78.82,52.35,8.71,-,28.31,37.82,1175.43,1326.79,1302.23,1438.68,-,-,4.94,8.39
Bengkulu Utara,2799.25,2814.71,118.53,171.19,-,10.5,50.6,32.69,1315.32,1271.23,1314.03,1323.23,0.78,5.87,-,-
Kaur,1974.32,2140.73,80.96,53.11,7.49,14.27,28.66,47.12,764.68,889.61,1079.41,1132.33,13.12,2.62,-,1.67
Seluma,2074.17,2784.35,39.78,94.01,-,10.91,42.31,64.5,851.11,1251.12,1136.46,1363.8,4.03,-,0.48,-
Mukomuko,2281.42,2249.4,84.34,58.21,1.56,7.59,15.02,14.69,1079.71,1081.53,1083.91,1078.66,16.89,8.71,-,-
Lebong,2204.3,2345.18,114.02,67.09,4.27,-,113.51,32.49,883.83,1006.35,1079.5,1223.46,4.84,10.5,4.34,5.3
Kepahiang,2152.32,2326.73,70.3,89.05,9.26,-,58.29,64.04,917.95,970.67,1079.31,1183.09,11.9,12.36,5.3,7.52
Bengkulu Tengah,2050.2,2168.41,21.47,20.47,-,-,11.72,-,936.73,985.52,1064.47,1159.92,7.3,2.5,8.51,-
Kota Bengkulu,2187.95,2545.9,39.39,76.57,19.85,-,54.06,10.14,923.99,1053.94,1146.04,1401.63,1.34,1.93,3.29,1.7
Lampung Barat,2993.72,2885.5,135.21,97.11,16.6,7.64,29.59,22.24,1232.17,1155.72,1486.57,1550.71,93.59,43.6,-,8.48
Tanggamus,2705.07,3162.42,57.56,40.59,0.37,-,77.33,6.42,914.31,901.78,1593.75,2145.9,61.26,67.74,0.48,-
Lampung Selatan,3898.25,3968.65,93.35,70.98,3.94,11.99,109.93,65.93,1419.18,1480.61,2161.11,2193.14,107.61,120.03,3.14,25.96
Lampung Timur,3062.57,3525.65,146.1,196.11,4.09,3.36,41.14,42.63,1170.59,1330.52,1639.11,1816.25,60.66,136.78,0.88,-
Lampung Tengah,3522.69,3716.68,151.23,75.49,1.9,7.14,41.65,60.07,1349.84,1491.9,1891.35,1979.14,85.11,100.06,1.62,2.88
Lampung Utara,3125.41,2671.91,59.43,63.87,2.43,2.46,67.8,7.57,1333.18,1156.2,1594.74,1330.68,59.32,111.14,8.5,-
Way Kanan,2969.79,2955.51,66.43,34.33,4.59,2.35,96.34,29.87,1183.55,1343.13,1577.62,1493.1,40.08,38.02,1.19,14.72
Tulangbawang,2396.42,2910.05,52.07,41.55,-,1.04,56.63,30.86,945.37,1130.11,1301.96,1660.82,38.11,45.67,2.28,-
Pesawaran,3119.96,3145.43,141.34,9.41,5.42,-,45.32,12.65,1050.38,981.49,1716.43,2006.03,161.07,132.63,-,3.21
Pringsewu,3486.3,3447.87,102.56,41.76,1.54,1.13,94.05,57.48,1048.78,1088.28,2157.65,2178.47,81.72,78.19,-,2.55
Mesuji,3166.67,3631.72,48.16,62.3,-,-,10.25,4.04,1201.18,1396.14,1865.35,2127.21,38.97,40.14,2.77,1.89
Tulang Bawang Barat,2391.29,2437.88,16.92,15,2.31,27.58,24.92,4.2,856.87,917.1,1430.26,1396.21,60.02,77.78,-,-
Pesisir Barat,2748.2,2470.05,123.33,41.27,8.11,7.9,70.73,32.78,1105.93,1001.12,1384.61,1313.65,55.49,61.67,-,11.67
Kota Bandar Lampung,4303.96,4349.52,75.09,114.14,8.66,2.78,68.77,48.93,1919.73,1951.66,2126.03,2117.43,99.13,108.78,6.56,5.8
Kota Metro,3337.12,3250.56,99.22,41.15,-,1.3,34.69,21.63,1280.54,1157.17,1828.16,1964.87,88.56,64.44,5.95,-
Bangka,2563.94,2357.88,102.2,15.43,-,-,46.92,45.08,1211.01,1096.07,1201.59,1180.92,2.22,-,-,20.38
Belitung,2435.52,2331.15,90.77,57.47,0.77,-,57.07,131.47,1146.63,1103.74,1136.95,1017.08,-,2.47,3.34,18.91
Bangka Barat,2432.04,1917.81,16.74,12.37,1.85,-,33.08,21.87,1191.49,980.61,1188.88,900.48,-,2.48,-,-
Bangka Tengah,2327.33,2220.63,99.1,129.19,4.38,3.81,61.77,36.91,1103.88,996.93,1058.2,1046.3,-,7.49,-,-
Bangka Selatan,1664.87,1797.86,60.01,28.92,-,-,2.51,10.58,641.88,819.26,942.07,934.57,18.4,4.52,-,-
Belitung Timur,2584.12,2472.16,113.24,25.25,8.14,-,51,38.73,1211.67,1320.43,1122.05,1058.84,7.98,13.61,70.04,15.3
Kota Pangkal Pinang,2618.41,2975.13,29.45,101.16,0.83,5.23,37.39,63.99,1285.47,1436.19,1261.06,1365.24,3.9,3.33,0.31,-
Karimun,2825.45,2086.49,173.17,61.4,10.18,75.69,51.54,41.38,1295.85,1016.74,1284.66,889.49,4.16,-,5.89,1.79
Bintan,2881.48,3519.26,170.01,160.32,-,-,27.03,58.96,1394.88,1733.23,1283.04,1557.78,2.52,5.22,4.01,3.75
Natuna,2227.16,1651.8,27.07,43.49,2.21,-,43.65,4.88,993.89,687.71,1158.84,915.72,1.5,-,-,-
Lingga,1780.18,2064.18,32.58,157.89,-,-,34.27,13.91,902.44,917.75,807.83,934.88,-,9.67,3.06,30.08
Kepulauan Anambas,1341.48,1990.84,25.49,27.56,-,-,7.97,42.99,552.89,822.17,738.36,1098.12,16.77,-,-,-
Kota Batam,3005.45,3488.57,168.63,144.48,13.95,3.02,88.41,115.47,1426.5,1623.91,1297.75,1576.03,6.87,4.84,3.33,20.82
Kota Tanjung Pinang,2881.96,2518.47,137.88,40.57,2.98,11.11,68.22,12.58,1476.81,1250.03,1181.5,1190.65,12.6,2.41,1.97,11.13
Kep. Seribu,2538.56,2216.4,33.06,63.95,12.28,4.72,7.38,8.83,1144.74,1088.64,1233.03,926.94,108.07,123.31,-,-
Kota Jakarta Selatan,4338.67,4882.85,146.59,176.7,3.51,9.8,222.26,52.26,1880.3,2234.18,1990.55,2297.6,86.03,102.17,9.44,10.15
Kota Jakarta Timur,3353.72,3778.66,115.09,129.98,1.69,-,76.88,41.96,1547.05,1768.89,1504.84,1701.3,102.61,131.19,5.56,5.34
Kota Jakarta Pusat,3466.62,3324.29,103.96,66.12,11.79,18.46,39.23,10.44,1557.09,1527.62,1631.5,1563.9,123.05,133.18,-,4.59
Kota Jakarta Barat,3464.76,3488.21,151.04,115.27,11.56,8.33,68.41,47.27,1523.87,1552.08,1598.32,1663.5,93.03,86.08,18.52,15.68
Kota Jakarta Utara,3227.96,3644.94,165.15,267.51,12.37,24.77,68.47,14.44,1467.57,1548.66,1427.98,1691.49,79.31,80.29,7.1,17.78
Bogor,2770.86,3311.26,90.61,140.31,3.31,15.49,48.61,40.05,1209.55,1488.33,1265.95,1427.01,151.07,195.6,1.76,4.48
Sukabumi,2582.45,2866.25,57.8,85.37,13.08,30.76,82.82,16.06,1263.35,1387.07,1020.13,1206.75,145.27,138.97,-,1.28
Cianjur,2619.42,2184.82,36.32,75.62,9.98,6.11,53.91,40.03,1375.86,1165.94,1082.46,818.41,60.9,77.27,-,1.44
Bandung,3321.44,3071.3,78.3,52.32,6.76,7.46,130.08,169.37,1898.41,1714.28,1188.12,1084.49,19.77,37.31,-,6.07
Garut,3126.44,2884.9,62.71,51.16,2.78,10.82,128.21,130.66,1699.89,1527.96,1200.32,1113.66,29.71,37.37,2.82,13.28
Tasikmalaya,2555.91,2883.77,72.28,111.97,28.1,19.03,45.41,95.75,1244.16,1413.56,1131.74,1212.5,34.22,30.96,-,-
Ciamis,3462.89,3509.61,155.06,98.48,2.73,1.47,83.03,114.56,1693.34,1744.82,1487.76,1522.61,40.96,24.69,-,2.98
Kuningan,4791.54,4186.72,183.35,106.87,49.09,22.89,126.17,92.09,2047.09,1867.14,2199.21,1889.49,168.81,196.88,17.82,11.38
Cirebon,3178.47,3443.44,83.85,114.25,11.81,10.34,25.31,33.1,1456.86,1545.16,1485.69,1623.59,104.41,113.14,10.54,3.86
Majalengka,3246.68,2997.67,108.85,51.66,5.55,11.14,57.23,53.19,1472.63,1448.22,1356.09,1289.25,241.04,143.48,5.28,0.73
Sumedang,3234.91,3263.23,84.14,61.25,2.78,7.54,113.94,166.48,1719.02,1661.05,1160.43,1237.12,152.46,125.24,2.14,4.54
